Jersey,Name,Position,Age,Height,Weight,Years,College,Team,PositionGrp,Side,Playtime
53,A.Q. Shipley,C,30,73,307,5,Penn State,Arizona,Offensive Line,Offense,5-8 Yrs
77,Evan Boehm,C,22,74,309,0,Missouri,Arizona,Offensive Line,Offense,Rookie
65,Taylor Boggs,C,29,75,302,4,Humboldt State,Arizona,Offensive Line,Offense,1-4 Yrs
28,Justin Bethel,CB,26,72,200,5,Presbyterian College,Arizona,Defensive Back,Defense,5-8 Yrs
1,Harlan Miller,CB,22,72,182,0,Southeastern Louisiana,Arizona,Defensive Back,Defense,Rookie
35,Cariel Brooks,CB,25,69,200,2,Adams State,Arizona,Defensive Back,Defense,1-4 Yrs
43,Mike Jenkins,CB,31,70,197,9,South Florida,Arizona,Defensive Back,Defense,9-12 Yrs
25,Jerraud Powers,CB,29,70,187,8,Auburn,Arizona,Defensive Back,Defense,5-8 Yrs
46,Asa Jackson,CB,26,70,183,4,Cal Poly,Arizona,Defensive Back,Defense,1-4 Yrs
39,Shaun Prater,CB,26,70,190,4,Iowa,Arizona,Defensive Back,Defense,1-4 Yrs
,Ronald Zamort,CB,24,70,174,0,Western Michigan,Arizona,Defensive Back,Defense,Rookie
21,Brandon Williams,CB,23,71,197,0,Texas A&M,Arizona,Defensive Back,Defense,Rookie
,Elie Bouka,CB,,73,205,0,,Arizona,Defensive Back,Defense,Rookie
21,Patrick Peterson,CB,26,73,219,6,LSU,Arizona,Defensive Back,Defense,5-8 Yrs
,Trevon Hartfield,CB,,74,195,0,Southwestern Oklahoma,Arizona,Defensive Back,Defense,Rookie
55,Chandler Jones,DE,26,77,265,5,Syracuse,Arizona,Front Seven,Defense,5-8 Yrs
58,Tristan Okpalaugo,DE,26,78,250,0,Fresno State,Arizona,Front Seven,Defense,Rookie
92,Frostee Rucker,DT,32,75,280,11,USC,Arizona,Front Seven,Defense,9-12 Yrs
98,Corey Peters,DT,28,75,305,7,Kentucky,Arizona,Front Seven,Defense,5-8 Yrs
71,Red Bryant,DT,32,76,323,9,Texas A&M,Arizona,Front Seven,Defense,9-12 Yrs
91,Ed Stinson,DT,26,76,287,3,Alabama,Arizona,Front Seven,Defense,1-4 Yrs
72,Olsen Pierre,DT,24,76,293,1,Miami,Arizona,Front Seven,Defense,1-4 Yrs
5,Robert Nkemdiche,DT,21,76,296,0,Ole Miss,Arizona,Front Seven,Defense,Rookie
95,Rodney Gunter,DT,24,77,305,2,Delaware State,Arizona,Front Seven,Defense,1-4 Yrs
97,Josh Mauro,DT,25,78,282,3,Stanford,Arizona,Front Seven,Defense,1-4 Yrs
93,Calais Campbell,DT,29,80,300,9,Miami,Arizona,Front Seven,Defense,9-12 Yrs
78,Earl Watford,G,26,75,300,4,James Madison,Arizona,Offensive Line,Offense,1-4 Yrs
64,Jake Bernstein,G,23,76,304,0,Vanderbilt,Arizona,Offensive Line,Offense,Rookie
69,Evan Mathis,G,34,77,301,12,Alabama,Arizona,Offensive Line,Offense,9-12 Yrs
76,Mike Iupati,G,29,77,331,7,Idaho,Arizona,Offensive Line,Offense,5-8 Yrs
60,Antoine McClain,G,26,77,336,2,Clemson,Arizona,Offensive Line,Offense,1-4 Yrs
51,Kevin Minter,LB,25,72,246,4,LSU,Arizona,Front Seven,Defense,1-4 Yrs
42,Quayshawn Nealy,LB,24,72,237,1,Georgia Tech,Arizona,Front Seven,Defense,1-4 Yrs
,Lamar Louis,LB,22,72,231,0,LSU,Arizona,Front Seven,Defense,Rookie
44,Markus Golden,LB,25,74,260,2,Missouri,Arizona,Front Seven,Defense,1-4 Yrs
50,Gabe Martin,LB,24,74,236,1,Bowling Green,Arizona,Front Seven,Defense,1-4 Yrs
88,Mike Reilly,LB,24,75,261,0,William & Mary,Arizona,Front Seven,Defense,Rookie
49,Zack Wagenmann,LB,23,75,250,2,Montana,Arizona,Front Seven,Defense,1-4 Yrs
57,Alex Okafor,LB,25,76,261,4,Texas,Arizona,Front Seven,Defense,1-4 Yrs
59,Alani Fua,LB,24,77,234,2,BYU,Arizona,Front Seven,Defense,1-4 Yrs
96,Kareem Martin,LB,24,78,272,3,North Carolina,Arizona,Front Seven,Defense,1-4 Yrs
47,Shaq Riddick,LB,23,78,260,2,West Virginia,Arizona,Front Seven,Defense,1-4 Yrs
10,Daniel Dillon,LS,23,75,225,0,Campbell,Arizona,Special Teams,Special Teams,Rookie
,Kameron Canaday,LS,22,76,245,0,Portland State,Arizona,Special Teams,Special Teams,Rookie
94,Xavier Williams,NT,24,74,309,2,Northern Iowa,Arizona,Front Seven,Defense,1-4 Yrs
,Givens Price,OT,21,76,295,0,Nebraska,Arizona,Offensive Line,Offense,Rookie
74,D.J. Humphries,OT,22,77,307,2,Florida,Arizona,Offensive Line,Offense,1-4 Yrs
78,Cole Toner,OT,22,77,305,0,Harvard,Arizona,Offensive Line,Offense,Rookie
