sex,department,status
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,accepted
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
male,A,rejected
