Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Female,Actuarial Science,ESFJ,Extravert,Sensing,Feeling,Judging,5,,F14
Female,Actuarial Science,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,F14
Female,Actuarial Science,ISFJ,Introvert,Sensing,Feeling,Judging,6,,F14
Female,Actuarial Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,,F14
Female,Actuarial Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,,F14
Female,Actuarial Science,ISTJ,Introvert,Sensing,Thinking,Judging,7,,F14
Male,Actuarial Science,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,F14
Male,Actuarial Science,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,F14
Male,Actuarial Science,ESFJ,Extravert,Sensing,Feeling,Judging,5,,F14
Male,Actuarial Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,6,,F14
Male,Actuarial Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,,F14
Female,Chemistry,INTJ,Introvert,Intuitive,Thinking,Judging,7,,F14
Female,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,7,,F14
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,4,,F14
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,F14
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,F14
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,F14
Male,Computer Science,ESFJ,Extravert,Sensing,Feeling,Judging,5,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,F14
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,7,,F14
