gender,grade,age,district_type,top_goal,grades_rank,sports_rank,looks_rank,money_rank
boy,5,11,rural,sports,1,2,4,3
boy,5,10,rural,popular,2,1,4,3
girl,5,11,rural,popular,4,3,1,2
girl,5,11,rural,popular,2,3,4,1
girl,5,10,rural,popular,4,2,1,3
girl,5,11,rural,popular,4,2,1,3
girl,5,10,rural,popular,3,4,1,2
girl,5,10,rural,grades,3,4,2,1
girl,5,10,rural,sports,3,2,1,4
girl,5,10,rural,sports,4,3,2,1
girl,5,11,rural,sports,2,3,1,4
girl,4,10,rural,grades,2,3,4,1
boy,4,9,rural,popular,2,3,4,1
boy,4,9,rural,popular,4,2,3,1
boy,4,9,rural,popular,4,3,2,1
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,sports,3,1,2,4
girl,4,9,rural,popular,3,4,1,2
girl,4,9,rural,grades,2,3,1,4
girl,4,9,rural,sports,3,2,1,4
girl,4,9,rural,popular,4,3,1,2
girl,4,9,suburban,grades,1,4,2,3
girl,4,9,suburban,popular,4,2,1,3
girl,4,9,suburban,grades,4,3,2,1
girl,4,7,suburban,grades,1,2,3,4
girl,4,9,suburban,popular,2,3,1,4
girl,4,10,suburban,popular,2,3,1,4
girl,4,9,suburban,grades,4,2,1,3
girl,4,10,suburban,popular,2,3,4,1
boy,4,10,suburban,grades,1,2,4,3
boy,4,10,suburban,grades,2,4,3,1
boy,4,9,suburban,grades,1,2,4,3
boy,4,9,suburban,grades,3,1,2,4
boy,4,10,suburban,grades,2,1,3,4
boy,4,11,suburban,sports,3,1,2,4
boy,4,9,suburban,sports,4,3,2,1
boy,4,10,suburban,popular,3,2,1,4
boy,4,10,suburban,sports,3,1,4,2
boy,4,10,suburban,grades,2,3,1,4
boy,4,9,suburban,sports,4,1,3,2
boy,4,9,suburban,grades,2,1,3,4
boy,4,10,suburban,grades,2,1,4,3
boy,4,9,suburban,popular,3,2,4,1
boy,5,11,suburban,grades,2,1,3,4
boy,5,11,suburban,popular,2,1,4,3
boy,5,11,suburban,grades,4,1,2,3
boy,5,11,suburban,popular,4,3,1,2
boy,5,11,suburban,sports,4,2,1,3
